Time	App_Name	BG_App_Cnt	Daylight	
2021-09-10 12:36:56.851629	Skype.exe	8	Afternoon
2021-09-10 12:37:36.891591	opera.exe	8	Afternoon
2021-09-10 12:37:44.465343	TopTracker.exe	8	Afternoon
2021-09-10 12:37:44.563083	opera.exe	8	Afternoon
2021-09-10 12:39:40.840240	Skype.exe	8	Afternoon
2021-09-10 12:39:59.492379	opera.exe	8	Afternoon
2021-09-10 12:42:43.398524	TopTracker.exe	8	Afternoon
2021-09-10 12:42:43.537153	opera.exe	8	Afternoon
2021-09-10 12:43:19.286585	Skype.exe	8	Afternoon
2021-09-10 12:44:35.712277	explorer.exe	8	Afternoon
2021-09-10 12:44:36.055360	opera.exe	8	Afternoon
2021-09-10 12:47:43.895209	TopTracker.exe	9	Afternoon
2021-09-10 12:47:43.999930	opera.exe	9	Afternoon
2021-09-10 12:48:30.637265	Skype.exe	9	Afternoon
2021-09-10 12:48:45.149460	opera.exe	9	Afternoon
2021-09-10 12:49:23.868023	Skype.exe	9	Afternoon
2021-09-10 12:49:40.373320	opera.exe	9	Afternoon
2021-09-10 12:50:59.643056	Skype.exe	9	Afternoon
2021-09-10 12:51:29.965509	opera.exe	9	Afternoon
2021-09-10 12:52:52.281455	TopTracker.exe	9	Afternoon
2021-09-10 12:52:52.360244	opera.exe	9	Afternoon
2021-09-10 12:53:07.879755	Skype.exe	9	Afternoon
2021-09-10 12:55:15.754908	notepad.exe	9	Afternoon
2021-09-10 12:55:16.311429	opera.exe	9	Afternoon
2021-09-10 12:56:30.761348	explorer.exe	9	Afternoon
2021-09-10 12:56:31.114937	Skype.exe	9	Afternoon
2021-09-10 12:56:31.896846	explorer.exe	9	Afternoon
2021-09-10 12:56:32.398507	TextLogger.exe	9	Afternoon
2021-09-10 12:56:42.296046	Skype.exe	9	Afternoon
2021-09-10 12:56:44.499157	opera.exe	9	Afternoon
2021-09-10 12:57:45.619764	TopTracker.exe	9	Afternoon
2021-09-10 12:57:45.719505	opera.exe	9	Afternoon
2021-09-10 12:58:59.363625	TextLogger.exe	9	Afternoon
2021-09-10 12:58:59.705711	Skype.exe	9	Afternoon
2021-09-10 12:59:09.073668	opera.exe	9	Afternoon
2021-09-10 12:59:38.476066	Skype.exe	9	Afternoon
2021-09-10 12:59:39.646936	opera.exe	9	Afternoon
2021-09-10 13:07:48.481183	TopTracker.exe	8	Afternoon
2021-09-10 13:07:48.618816	opera.exe	8	Afternoon
2021-09-10 13:16:10.272751	TopTracker.exe	8	Afternoon
2021-09-10 13:16:10.445289	opera.exe	8	Afternoon
2021-09-10 13:17:44.781102	TopTracker.exe	8	Afternoon
2021-09-10 13:17:44.940675	opera.exe	8	Afternoon
2021-09-10 13:18:22.794481	explorer.exe	8	Afternoon
2021-09-10 13:18:31.235916	opera.exe	8	Afternoon
2021-09-10 13:18:32.431718	explorer.exe	8	Afternoon
2021-09-10 13:18:40.285721	WINWORD.EXE	8	Afternoon
2021-09-10 13:18:55.921000	SnippingTool.exe	8	Afternoon
2021-09-10 13:18:57.769059	WINWORD.EXE	8	Afternoon
2021-09-10 13:18:58.095187	SnippingTool.exe	8	Afternoon
2021-09-10 13:19:00.145706	WINWORD.EXE	8	Afternoon
2021-09-10 13:19:00.183604	SnippingTool.exe	8	Afternoon
2021-09-10 13:19:02.262053	opera.exe	8	Afternoon
2021-09-10 13:22:47.533922	TopTracker.exe	9	Afternoon
2021-09-10 13:22:47.664572	opera.exe	9	Afternoon
2021-09-10 13:24:22.106361	explorer.exe	9	Afternoon
2021-09-10 13:24:22.264936	SearchApp.exe	9	Afternoon
2021-09-10 13:24:24.351359	explorer.exe	9	Afternoon
2021-09-10 13:24:24.467050	SearchApp.exe	9	Afternoon
2021-09-10 13:24:25.271897	StartMenuExperienceHost.exe	9	Afternoon
2021-09-10 13:24:26.174485	opera.exe	9	Afternoon
2021-09-10 13:24:27.708384	explorer.exe	9	Afternoon
2021-09-10 13:24:27.829061	SearchApp.exe	9	Afternoon
2021-09-10 13:24:28.345681	explorer.exe	9	Afternoon
2021-09-10 13:24:28.444417	opera.exe	9	Afternoon
2021-09-10 13:25:02.446519	ApplicationFrameHost.exe	9	Afternoon
2021-09-10 13:25:03.934543	explorer.exe	9	Afternoon
2021-09-10 13:25:04.260669	opera.exe	9	Afternoon
2021-09-10 13:26:45.865051	TextLogger.exe	9	Afternoon
2021-09-10 13:27:00.601658	opera.exe	9	Afternoon
2021-09-10 13:38:13.942626	TopTracker.exe	9	Afternoon
2021-09-10 13:38:14.042360	opera.exe	9	Afternoon
2021-09-10 13:38:59.691327	Skype.exe	9	Afternoon
2021-09-10 13:39:05.571641	opera.exe	9	Afternoon
2021-09-10 13:42:46.414606	TopTracker.exe	9	Afternoon
2021-09-10 13:42:46.580161	opera.exe	9	Afternoon
2021-09-10 13:47:48.860080	TopTracker.exe	9	Afternoon
2021-09-10 13:47:49.006688	opera.exe	9	Afternoon
2021-09-10 13:52:44.543736	TopTracker.exe	9	Afternoon
2021-09-10 13:52:44.692351	opera.exe	9	Afternoon
2021-09-10 13:57:05.243809	TextLogger.exe	9	Afternoon
2021-09-10 13:57:10.932601	opera.exe	9	Afternoon
2021-09-10 14:02:50.333002	TopTracker.exe	9	Afternoon
2021-09-10 14:02:50.456671	opera.exe	9	Afternoon
2021-09-10 14:06:29.315612	Skype.exe	9	Afternoon
2021-09-10 14:06:41.224761	SnippingTool.exe	9	Afternoon
2021-09-10 14:06:41.655610	opera.exe	9	Afternoon
2021-09-10 14:07:00.306750	Skype.exe	9	Afternoon
2021-09-10 14:07:04.972278	opera.exe	9	Afternoon
2021-09-10 14:07:20.916653	Skype.exe	9	Afternoon
2021-09-10 14:07:30.399310	opera.exe	9	Afternoon
