Key	Press_Time	Relase_Time	Daylight	
$	2021-09-10 12:13:56.784827	2021-09-10 12:13:56.934429	Afternoon
$	2021-09-10 12:13:57.017206	2021-09-10 12:13:57.210690	Afternoon
$	2021-09-10 12:13:57.316405	2021-09-10 12:13:57.466006	Afternoon
$	2021-09-10 12:13:57.565739	2021-09-10 12:13:57.711351	Afternoon
shift	2021-09-10 12:13:57.904832	2021-09-10 12:13:57.995591	Afternoon
$	2021-09-10 12:13:58.242930	2021-09-10 12:13:58.464337	Afternoon
shift	2021-09-10 12:13:58.029499	2021-09-10 12:13:58.467329	Afternoon
caps_lock	2021-09-10 12:14:03.304398	2021-09-10 12:14:03.475941	Afternoon
$	2021-09-10 12:14:03.723278	2021-09-10 12:14:03.870886	Afternoon
caps_lock	2021-09-10 12:14:04.224938	2021-09-10 12:14:04.319685	Afternoon
$	2021-09-10 12:14:04.451333	2021-09-10 12:14:04.611902	Afternoon
$	2021-09-10 12:14:04.613898	2021-09-10 12:14:04.815360	Afternoon
$	2021-09-10 12:14:04.815360	2021-09-10 12:14:05.046741	Afternoon
$	2021-09-10 12:14:05.047739	2021-09-10 12:14:05.152462	Afternoon
$	2021-09-10 12:14:05.206314	2021-09-10 12:14:05.327988	Afternoon
$	2021-09-10 12:14:05.504517	2021-09-10 12:14:05.661106	Afternoon
$	2021-09-10 12:14:05.667082	2021-09-10 12:14:05.774795	Afternoon
$	2021-09-10 12:14:05.892480	2021-09-10 12:14:05.893478	Afternoon
$	2021-09-10 12:14:06.186697	2021-09-10 12:14:06.322331	Afternoon
$	2021-09-10 12:14:06.427052	2021-09-10 12:14:06.582635	Afternoon
shift	2021-09-10 12:14:06.774123	2021-09-10 12:14:07.174053	Afternoon
$	2021-09-10 12:14:47.190081	2021-09-10 12:14:47.322724	Afternoon
$	2021-09-10 12:14:47.771525	2021-09-10 12:14:47.913148	Afternoon
caps_lock	2021-09-10 12:14:49.614600	2021-09-10 12:14:49.780157	Afternoon
$	2021-09-10 12:14:50.086341	2021-09-10 12:14:50.237931	Afternoon
caps_lock	2021-09-10 12:14:50.460338	2021-09-10 12:14:50.588994	Afternoon
$	2021-09-10 12:14:50.719643	2021-09-10 12:14:50.859271	Afternoon
$	2021-09-10 12:14:50.868246	2021-09-10 12:14:51.065718	Afternoon
$	2021-09-10 12:14:51.075692	2021-09-10 12:14:51.304082	Afternoon
$	2021-09-10 12:14:51.520503	2021-09-10 12:14:51.621234	Afternoon
$	2021-09-10 12:14:51.681074	2021-09-10 12:14:51.818706	Afternoon
$	2021-09-10 12:14:52.045100	2021-09-10 12:14:52.208665	Afternoon
$	2021-09-10 12:14:52.209660	2021-09-10 12:14:52.345298	Afternoon
$	2021-09-10 12:14:52.581666	2021-09-10 12:14:52.815041	Afternoon
$	2021-09-10 12:14:52.943699	2021-09-10 12:14:53.115243	Afternoon
$	2021-09-10 12:14:53.187049	2021-09-10 12:14:53.360584	Afternoon
shift	2021-09-10 12:14:56.669736	2021-09-10 12:14:57.293072	Afternoon
$	2021-09-10 12:18:19.485798	2021-09-10 12:18:19.735131	Afternoon
$	2021-09-10 12:18:20.198892	2021-09-10 12:18:20.342510	Afternoon
$	2021-09-10 12:18:20.484130	2021-09-10 12:18:20.654673	Afternoon
backspace	2021-09-10 12:18:20.975816	2021-09-10 12:18:21.166305	Afternoon
backspace	2021-09-10 12:18:21.230134	2021-09-10 12:18:21.322888	Afternoon
