Type	Stopped_Time	Activated_Time	Duration(s)	Daylight	
Mouse	2021-09-10 12:29:11.284589	2021-09-10 12:29:24.436431	13.151842	Afternoon
Mouse	2021-09-10 12:29:30.175089	2021-09-10 12:29:35.587621	5.412532	Afternoon
Mouse	2021-09-10 12:29:35.710292	2021-09-10 12:29:44.667347	8.957055	Afternoon
Mouse	2021-09-10 12:29:51.723010	2021-09-10 12:30:00.651142	8.928132	Afternoon
Keyboard	2021-09-10 12:29:15.862352	2021-09-10 12:30:52.465629	96.603277	Afternoon
Mouse	2021-09-10 12:30:50.940705	2021-09-10 12:31:11.716167	20.775462	Afternoon
Keyboard	2021-09-10 12:31:10.955199	2021-09-10 12:31:23.310171	12.354972	Afternoon
Mouse	2021-09-10 12:31:28.456413	2021-09-10 12:31:34.014555	5.558142	Afternoon
Keyboard	2021-09-10 12:31:25.121330	2021-09-10 12:31:45.498856	20.377526	Afternoon
Mouse	2021-09-10 12:32:12.940494	2021-09-10 12:32:20.402657	7.462163	Afternoon
Keyboard	2021-09-10 12:31:46.582956	2021-09-10 12:32:41.876252	55.293296	Afternoon
Keyboard	2021-09-10 12:32:47.963977	2021-09-10 12:33:03.692930	15.728953	Afternoon
Mouse	2021-09-10 12:33:10.128725	2021-09-10 12:33:17.371363	7.242638	Afternoon
Keyboard	2021-09-10 12:33:08.809252	2021-09-10 12:33:37.980270	29.171018	Afternoon
Keyboard	2021-09-10 12:33:40.384841	2021-09-10 12:33:55.813598	15.428757	Afternoon
Mouse	2021-09-10 12:33:55.349836	2021-09-10 12:35:00.197480	64.847644	Afternoon
Keyboard	2021-09-10 12:34:59.101412	2021-09-10 12:35:13.443071	14.341659	Afternoon
Keyboard	2021-09-10 12:35:15.682084	2021-09-10 12:35:21.329985	5.647901	Afternoon
Keyboard	2021-09-10 12:35:21.546406	2021-09-10 12:35:27.554347	6.007941	Afternoon
Mouse	2021-09-10 12:35:11.018551	2021-09-10 12:35:37.064921	26.04637	Afternoon
Keyboard	2021-09-10 12:35:30.170353	2021-09-10 12:35:44.763343	14.59299	Afternoon
Keyboard	2021-09-10 12:35:49.307196	2021-09-10 12:35:59.416170	10.108974	Afternoon
Mouse	2021-09-10 12:35:43.784956	2021-09-10 12:36:22.019744	38.234788	Afternoon
Keyboard	2021-09-10 12:36:00.248945	2021-09-10 12:36:58.243909	57.994964	Afternoon
Mouse	2021-09-10 12:36:57.847967	2021-09-10 12:37:17.077559	19.229592	Afternoon
Mouse	2021-09-10 12:37:17.144382	2021-09-10 12:37:22.888026	5.743644	Afternoon
Mouse	2021-09-10 12:37:23.925255	2021-09-10 12:37:34.318470	10.393215	Afternoon
Mouse	2021-09-10 12:38:15.818530	2021-09-10 12:38:21.221089	5.402559	Afternoon
Mouse	2021-09-10 12:39:42.222545	2021-09-10 12:39:52.235778	10.013233	Afternoon
Mouse	2021-09-10 12:39:52.253728	2021-09-10 12:39:58.948831	6.695103	Afternoon
Keyboard	2021-09-10 12:37:33.365018	2021-09-10 12:40:33.971205	180.606187	Afternoon
Mouse	2021-09-10 12:40:29.971896	2021-09-10 12:40:37.884745	7.912849	Afternoon
Mouse	2021-09-10 12:40:55.331661	2021-09-10 12:42:00.668755	65.337094	Afternoon
Mouse	2021-09-10 12:42:47.940382	2021-09-10 12:42:55.012477	7.072095	Afternoon
Mouse	2021-09-10 12:42:55.785411	2021-09-10 12:43:00.932653	5.147242	Afternoon
Keyboard	2021-09-10 12:40:34.082907	2021-09-10 12:43:20.437508	166.354601	Afternoon
Mouse	2021-09-10 12:43:19.863044	2021-09-10 12:43:56.513068	36.650024	Afternoon
Keyboard	2021-09-10 12:43:51.406721	2021-09-10 12:43:57.003756	5.597035	Afternoon
Keyboard	2021-09-10 12:44:11.193821	2021-09-10 12:44:19.470697	8.276876	Afternoon
Mouse	2021-09-10 12:43:56.660682	2021-09-10 12:44:28.876550	32.215868	Afternoon
Keyboard	2021-09-10 12:44:28.204348	2021-09-10 12:45:06.604692	38.400344	Afternoon
Mouse	2021-09-10 12:45:05.940467	2021-09-10 12:45:14.780834	8.840367	Afternoon
Mouse	2021-09-10 12:45:16.879228	2021-09-10 12:45:22.811366	5.932138	Afternoon
Keyboard	2021-09-10 12:45:13.523199	2021-09-10 12:45:24.486888	10.963689	Afternoon
Mouse	2021-09-10 12:45:27.471909	2021-09-10 12:45:32.483511	5.011602	Afternoon
Mouse	2021-09-10 12:45:33.378118	2021-09-10 12:45:47.620046	14.241928	Afternoon
Mouse	2021-09-10 12:46:00.769895	2021-09-10 12:46:13.643477	12.873582	Afternoon
Mouse	2021-09-10 12:48:33.566424	2021-09-10 12:48:42.195355	8.628931	Afternoon
Mouse	2021-09-10 12:49:03.238103	2021-09-10 12:49:12.781591	9.543488	Afternoon
Keyboard	2021-09-10 12:45:24.585624	2021-09-10 12:51:01.124098	336.538474	Afternoon
Mouse	2021-09-10 12:51:00.253426	2021-09-10 12:51:26.461875	26.208449	Afternoon
Keyboard	2021-09-10 12:51:25.892396	2021-09-10 12:51:41.052868	15.160472	Afternoon
Mouse	2021-09-10 12:51:40.488378	2021-09-10 12:51:49.559129	9.070751	Afternoon
Mouse	2021-09-10 12:51:51.409186	2021-09-10 12:52:10.275747	18.866561	Afternoon
Mouse	2021-09-10 12:52:13.987824	2021-09-10 12:52:23.220145	9.232321	Afternoon
Keyboard	2021-09-10 12:52:22.547944	2021-09-10 12:52:36.325110	13.777166	Afternoon
Mouse	2021-09-10 12:52:35.880299	2021-09-10 12:52:47.858278	11.977979	Afternoon
Mouse	2021-09-10 12:53:23.644611	2021-09-10 12:53:41.164776	17.520165	Afternoon
Keyboard	2021-09-10 12:52:50.618898	2021-09-10 12:53:45.795396	55.176498	Afternoon
Mouse	2021-09-10 12:53:49.254149	2021-09-10 12:54:00.838182	11.583036	Afternoon
Mouse	2021-09-10 12:54:36.287417	2021-09-10 12:55:07.926835	31.639418	Afternoon
Mouse	2021-09-10 12:55:52.770232	2021-09-10 12:55:58.885177	6.114945	Afternoon
Keyboard	2021-09-10 12:54:00.486123	2021-09-10 12:56:53.372436	172.886313	Afternoon
Mouse	2021-09-10 12:56:52.238467	2021-09-10 12:57:07.670216	15.431749	Afternoon
Mouse	2021-09-10 12:57:24.379545	2021-09-10 12:57:29.563685	5.18414	Afternoon
Keyboard	2021-09-10 12:57:06.852401	2021-09-10 13:00:36.277546	209.425145	Afternoon
Keyboard	2021-09-10 13:00:37.718694	2021-09-10 13:01:14.657944	36.93925	Afternoon
Mouse	2021-09-10 13:01:38.580992	2021-09-10 13:07:45.478211	366.897219	Afternoon
Mouse	2021-09-10 13:07:48.596874	2021-09-10 13:16:10.403399	501.806525	Afternoon
Mouse	2021-09-10 13:16:10.473214	2021-09-10 13:17:44.773122	94.299908	Afternoon
Keyboard	2021-09-10 13:01:15.581474	2021-09-10 13:18:05.226445	1009.644971	Afternoon
Keyboard	2021-09-10 13:18:05.960483	2021-09-10 13:18:19.352682	13.392199	Afternoon
Mouse	2021-09-10 13:18:32.255189	2021-09-10 13:18:39.276420	7.021231	Afternoon
Keyboard	2021-09-10 13:18:20.997284	2021-09-10 13:18:50.083604	29.08632	Afternoon
Keyboard	2021-09-10 13:18:54.112836	2021-09-10 13:19:03.327201	9.214365	Afternoon
Mouse	2021-09-10 13:19:07.191869	2021-09-10 13:19:25.373264	18.181395	Afternoon
Keyboard	2021-09-10 13:19:24.694081	2021-09-10 13:19:38.060349	13.366268	Afternoon
Mouse	2021-09-10 13:19:37.769127	2021-09-10 13:19:44.157051	6.387924	Afternoon
Mouse	2021-09-10 13:20:20.785133	2021-09-10 13:20:26.206640	5.421507	Afternoon
Mouse	2021-09-10 13:22:07.534761	2021-09-10 13:22:16.326261	8.7915	Afternoon
Keyboard	2021-09-10 13:19:43.474874	2021-09-10 13:23:13.931698	210.456824	Afternoon
Keyboard	2021-09-10 13:23:14.743528	2021-09-10 13:23:56.846887	42.103359	Afternoon
Keyboard	2021-09-10 13:23:57.984844	2021-09-10 13:24:14.705145	16.720301	Afternoon
Keyboard	2021-09-10 13:24:16.234058	2021-09-10 13:24:47.421690	31.187632	Afternoon
Keyboard	2021-09-10 13:24:48.589563	2021-09-10 13:25:06.588447	17.998884	Afternoon
Keyboard	2021-09-10 13:25:12.570457	2021-09-10 13:25:34.578623	22.008166	Afternoon
Mouse	2021-09-10 13:25:33.347912	2021-09-10 13:25:42.522385	9.174473	Afternoon
Mouse	2021-09-10 13:25:42.534353	2021-09-10 13:26:00.033573	17.49922	Afternoon
Keyboard	2021-09-10 13:25:59.134974	2021-09-10 13:26:36.476152	37.341178	Afternoon
Keyboard	2021-09-10 13:26:43.608086	2021-09-10 13:27:02.344996	18.73691	Afternoon
Mouse	2021-09-10 13:27:02.816734	2021-09-10 13:27:16.165050	13.348316	Afternoon
Mouse	2021-09-10 13:27:18.284386	2021-09-10 13:32:09.820443	291.536057	Afternoon
Keyboard	2021-09-10 13:27:13.953962	2021-09-10 13:32:13.036845	299.082883	Afternoon
Mouse	2021-09-10 13:32:12.128273	2021-09-10 13:34:14.533050	122.404777	Afternoon
Mouse	2021-09-10 13:34:15.536368	2021-09-10 13:35:49.029434	93.493066	Afternoon
Keyboard	2021-09-10 13:32:14.468018	2021-09-10 13:36:03.141706	228.673688	Afternoon
Mouse	2021-09-10 13:36:02.425621	2021-09-10 13:36:14.864959	12.439338	Afternoon
Mouse	2021-09-10 13:36:45.831174	2021-09-10 13:37:04.120281	18.289107	Afternoon
Mouse	2021-09-10 13:38:19.784009	2021-09-10 13:38:58.325976	38.541967	Afternoon
Mouse	2021-09-10 13:39:28.098421	2021-09-10 13:39:35.150571	7.05215	Afternoon
Keyboard	2021-09-10 13:36:13.783846	2021-09-10 13:40:48.052569	274.268723	Afternoon
Mouse	2021-09-10 13:40:46.754038	2021-09-10 13:41:06.750580	19.996542	Afternoon
Mouse	2021-09-10 13:41:12.910115	2021-09-10 13:42:43.719806	90.809691	Afternoon
Mouse	2021-09-10 13:42:46.582157	2021-09-10 13:47:48.844121	302.261964	Afternoon
Mouse	2021-09-10 13:47:49.018654	2021-09-10 13:50:07.725401	138.706747	Afternoon
Keyboard	2021-09-10 13:41:05.555774	2021-09-10 13:50:54.175780	588.620006	Afternoon
Mouse	2021-09-10 13:50:56.457680	2021-09-10 13:51:04.870191	8.412511	Afternoon
Keyboard	2021-09-10 13:51:16.928955	2021-09-10 13:51:23.837486	6.908531	Afternoon
Keyboard	2021-09-10 13:51:29.316839	2021-09-10 13:51:35.719722	6.402883	Afternoon
