vel_max_go10coh,acc_max_go10coh,total_dist_go10coh,vel_max_nogo10coh,acc_max_nogo10coh,total_dist_nogo10coh,vel_max_go50coh,acc_max_go50coh,total_dist_go50coh,vel_max_nogo50coh,acc_max_nogo50coh,total_dist_nogo50coh,vel_max_go80coh,acc_max_go80coh,total_dist_go80coh,vel_max_nogo80coh,acc_max_nogo80coh,total_dist_nogo80coh,vel_max_go,acc_max_go,total_dist_go,vel_max_nogo,acc_max_nogo,total_dist_nogo,meanRT_go.y,meanRT_stop.y,sdRT_go.y,sdRT_nogo.y,dda,stop_accuracy.y,meanRT_go_10.y,meanRT_go_50.y,meanRT_go_80.y,meanRT_stop_10.y,meanRT_stop_50.y,meanRT_stop_80.y,Gender,Age,A,B,C,D,E,F,G,H,IN,vol,go_acc,ssrt_integ,ssrt0.1,ssrt0.5,ssrt0.8,meanITGo,meanmt
9.264457351,275.4956301,0.435055459,6.132147112,210.2762412,0.364114911,7.713464104,234.5962595,0.581059366,5.281258415,137.8387982,0.303726114,8.870556139,246.2404393,0.47064552,6.798970332,283.301459,0.248834416,17.88390549,426.457371,1.890542274,5.440835868,160.4050812,0.263832585,1.987283564,1.72115888,0.240781815,0.42183763,0.398148148,0.541666667,1.99430813,1.976065761,1.988794755,1.587736334,1.660631028,1.900875672,male,20,20,14,10,11,11,4,15,14,9,0,0.777777778,1.003433673,1.021414176,0.970841963,1.019283504,0.999669111,0.973793949
4.99346346,237.5986185,0.526444783,4.533504896,108.7407343,0.337526579,5.224130284,179.8676813,0.47283329,5.034354,127.6304272,0.272119647,5.375006481,162.7650295,0.402480978,4.078644709,109.3272758,0.326888566,12.29169351,299.4075704,2.087339793,4.712471523,106.5471649,0.345063719,1.226207757,0.900580642,0.307895148,0.17542942,0.49537037,0.458333333,1.211291337,1.251251415,1.213673345,0.910000233,0.851520731,0.925914472,male,19,18,28,11,11,15,17,32,18,5,0,0.962962963,NA,NA,NA,NA,0.221256103,1.024304534
4.820934511,143.1533819,0.529086649,3.789185846,88.56453373,0.230797442,4.442863998,127.0321681,0.50842147,4.237381162,140.907811,0.286778188,4.104343666,122.3120721,0.475983361,4.161834044,126.8842592,0.327369168,11.52851244,270.3875956,2.031976904,3.972584137,107.9247093,0.269376063,1.671191918,1.370356928,0.355847186,0.356270459,0.444444444,0.527777778,1.727677461,1.676901339,1.606650176,1.338267873,1.452392203,1.328939386,male,20,9,15,3,1,5,4,9,5,6,0,0.854166667,1.053155449,1.15929577,0.985391862,0.931519932,0.67168436,1.064279853
5.798009611,187.6839553,0.396815264,5.373254523,158.0993971,0.274723084,5.988877063,182.1071185,0.791975462,4.692935823,144.6003322,0.324808327,7.157235046,196.36237,1.278890258,5.559278939,148.3495342,0.259524703,13.69930553,305.0377673,2.05008674,4.792554823,116.471728,0.25424314,1.285673594,0.931597306,0.299079684,0.15718129,0.444444444,0.479166667,1.27838901,1.28301209,1.297253691,0.918864334,0.912813173,0.965120585,female,19,3,27,11,5,9,17,26,12,12,0,0.94212963,1.04578477,1.084636787,0.997554598,1.040744947,0.430332607,0.88043582
4.124788918,121.9233156,0.273557883,4.248617336,123.6738899,0.201032954,4.194772848,128.1347058,0.243076605,3.707403136,91.98563179,0.186934991,4.421609041,137.801773,0.258465334,3.887551837,99.15163998,0.217597608,11.70422339,260.9124452,1.876346406,3.807057243,97.34085282,0.215443723,2.074792427,1.974480192,0.123003288,0.232316451,0.418981481,0.541666667,2.077515911,2.067705366,2.079781692,1.98155531,2.028339316,1.93480398,male,18,27,30,19,13,18,15,33,22,9,0,0.8125,0.977910588,0.955367611,0.966709863,1.012539743,1.288550587,0.81942313
10.64552543,564.5105386,1.105761774,7.343313594,240.7149114,0.398790695,8.901104883,505.6524788,1.172116102,6.383609224,304.0280926,0.34547863,8.909220332,477.80168,1.13498747,5.630608232,182.6910682,0.373267779,13.18782536,393.9118561,1.909242292,5.850189364,176.5434572,0.366309562,1.766223963,1.309899005,0.388597561,0.409565491,0.233796296,0.486111111,1.732883469,1.822400506,1.743688389,1.310153246,1.392684212,1.22339958,male,18,12,22,14,2,10,12,22,12,8,0,0.523148148,1.398878733,1.309288312,1.543470848,1.401971083,0.806551265,1.221517337
13.5818559,219.0408825,0.591653095,5.637530462,144.0431626,0.281368606,6.92619449,199.0399394,0.7620983,5.727181046,140.1856891,0.361266341,6.186306979,179.1460274,0.738995672,5.88644636,181.3225629,0.331776892,16.06501915,363.3035812,2.137122833,5.300654945,132.2377435,0.298849005,1.739343546,1.333678902,0.371490919,0.31265945,0.372685185,0.493055556,1.749818255,1.729623865,1.737726823,1.329496503,1.31722939,1.348051071,female,18,8,14,5,6,6,5,11,7,8,0,0.715277778,1.481415627,1.387087666,1.426979881,1.522852994,0.946176148,0.94180384
7.220657863,237.7118953,0.4781977,5.793147431,184.8106594,0.288836418,7.299759303,235.0661085,0.562254366,7.000357054,235.6958299,0.300020419,7.381477167,227.7361152,0.479782646,6.476167745,213.5972621,0.285410584,16.13057273,379.1442841,2.081207284,5.825853437,158.0095147,0.282548841,1.657909694,1.352471576,0.334713802,0.359450864,0.391203704,0.513888889,1.683809346,1.629727927,1.665184047,1.402415724,1.326589373,1.322173344,female,20,30,30,20,18,21,21,42,25,7,0,0.835648148,1.110916138,1.171375942,1.09637452,1.074147338,0.879164626,0.885679903
5.193052652,157.9715729,0.553721986,4.308037942,105.837733,0.211398014,8.247473428,147.1435758,0.469740719,5.030996763,150.5946409,0.246356284,4.894642487,173.9098554,0.396729372,4.353513041,128.5188975,0.211143623,14.21079343,318.995231,2.026447013,3.713617014,94.26230598,0.20818735,1.92261603,1.713210749,0.324285882,0.44282567,0.414351852,0.5625,1.928361841,1.912269495,1.925908753,1.70477407,1.761969918,1.681640307,female,22,13,17,23,10,8,11,19,16,9,0,0.715277778,1.169384676,1.090932172,1.178267059,1.228562609,1.124053703,0.908868088
5.957834762,233.4365512,0.567995004,5.214764785,157.6464805,0.215544715,5.686681729,186.4083046,0.625351905,5.414817893,161.5174314,0.288703059,5.331791306,171.1683265,0.501432922,6.310323493,217.1386922,0.22683965,12.74145321,319.773217,1.881394461,6.954733609,190.8205919,0.317712286,1.359476575,1.271092405,0.34936547,0.401117591,0.543981481,0.333333333,1.368864581,1.357019794,1.352357338,1.316338591,1.249001057,1.238703297,male,18,9,25,17,0,11,17,28,16,17,0,0.875,NA,NA,NA,NA,0.535577977,0.874545268
